CustomerCode,CountryCode,FMSerialnumber,Month,Year,Period
951304,TR,860351041,01,2017,201701
951304,TR,860351041,02,2017,201702
951304,TR,860351041,03,2017,201703
951304,TR,860351041,04,2017,201704
951304,TR,860351041,05,2017,201705
951304,TR,860351041,06,2017,201706
951304,TR,860351041,07,2017,201707
951304,TR,860351041,08,2017,201708
951304,TR,860351041,09,2017,201709
951304,TR,860351041,10,2017,201710
951304,TR,860351041,11,2017,201711
951304,TR,860351041,12,2017,201712
954716,IQ,870151057,09,2017,201709
954716,IQ,870151057,10,2017,201710
954716,IQ,870151057,11,2017,201711
954716,IQ,870151057,12,2017,201712
951078,SA,873051075,01,2017,201701
951078,SA,870151022,01,2017,201701
951078,SA,870151061,01,2017,201701
951078,SA,870151161,01,2017,201701
951078,SA,873051075,02,2017,201702
951078,SA,870151022,02,2017,201702
951078,SA,870151061,02,2017,201702
951078,SA,870151161,02,2017,201702
951078,SA,873051075,03,2017,201703
951078,SA,870151022,03,2017,201703
951078,SA,870151061,03,2017,201703
951078,SA,870151161,03,2017,201703
951078,SA,873051075,04,2017,201704
951078,SA,870151022,04,2017,201704
951078,SA,870151061,04,2017,201704
951078,SA,870151161,04,2017,201704
951078,SA,873051075,05,2017,201705
951078,SA,870151022,05,2017,201705
951078,SA,870151061,05,2017,201705
951078,SA,870151161,05,2017,201705
951078,SA,873051075,06,2017,201706
951078,SA,870151022,06,2017,201706
951078,SA,870151061,06,2017,201706
951078,SA,870151161,06,2017,201706
951078,SA,873051075,07,2017,201707
951078,SA,870151022,07,2017,201707
951078,SA,870151061,07,2017,201707
951078,SA,870151161,07,2017,201707
951078,SA,873051075,08,2017,201708
951078,SA,870151022,08,2017,201708
951078,SA,870151061,08,2017,201708
951078,SA,870151161,08,2017,201708
951078,SA,873051075,09,2017,201709
951078,SA,870151022,09,2017,201709
951078,SA,870151061,09,2017,201709
951078,SA,870151161,09,2017,201709
951078,SA,873051075,10,2017,201710
951078,SA,870151022,10,2017,201710
951078,SA,870151061,10,2017,201710
951078,SA,870151161,10,2017,201710
951078,SA,873051075,11,2017,201711
951078,SA,870151022,11,2017,201711
951078,SA,870151061,11,2017,201711
951078,SA,870151161,11,2017,201711
951078,SA,873051075,12,2017,201712
951078,SA,870151022,12,2017,201712
951078,SA,870151061,12,2017,201712
951078,SA,870151161,12,2017,201712
952141,LY,873051052,01,2017,201701
952141,LY,869351045,01,2017,201701
952141,LY,870151107,01,2017,201701
952141,LY,860351073,01,2017,201701
952141,LY,873051052,02,2017,201702
952141,LY,869351045,02,2017,201702
952141,LY,870151107,02,2017,201702
952141,LY,860351073,02,2017,201702
952141,LY,873051052,03,2017,201703
952141,LY,869351045,03,2017,201703
952141,LY,870151107,03,2017,201703
952141,LY,860351073,03,2017,201703
952141,LY,873051052,04,2017,201704
952141,LY,869351045,04,2017,201704
952141,LY,870151107,04,2017,201704
952141,LY,860351073,04,2017,201704
952141,LY,873051052,05,2017,201705
952141,LY,869351045,05,2017,201705
952141,LY,870151107,05,2017,201705
952141,LY,860351073,05,2017,201705
952141,LY,873051052,06,2017,201706
952141,LY,869351045,06,2017,201706
952141,LY,870151107,06,2017,201706
952141,LY,860351073,06,2017,201706
952141,LY,873051052,07,2017,201707
952141,LY,869351045,07,2017,201707
952141,LY,870151107,07,2017,201707
952141,LY,860351073,07,2017,201707
952141,LY,873051052,08,2017,201708
952141,LY,869351045,08,2017,201708
952141,LY,870151107,08,2017,201708
952141,LY,860351073,08,2017,201708
952141,LY,873051052,09,2017,201709
952141,LY,869351045,09,2017,201709
952141,LY,870151107,09,2017,201709
952141,LY,860351073,09,2017,201709
952141,LY,873051052,10,2017,201710
952141,LY,869351045,10,2017,201710
952141,LY,870151107,10,2017,201710
952141,LY,860351073,10,2017,201710
952141,LY,873051052,11,2017,201711
952141,LY,869351045,11,2017,201711
952141,LY,870151107,11,2017,201711
952141,LY,860351073,11,2017,201711
952141,LY,873051052,12,2017,201712
952141,LY,869351045,12,2017,201712
952141,LY,870151107,12,2017,201712
952141,LY,860351073,12,2017,201712
955104,IQ,873051131,11,2017,201711
955104,IQ,873051131,12,2017,201712
953269,SA,870751124,01,2017,201701
953269,SA,870751124,02,2017,201702
953269,SA,870751124,03,2017,201703
953269,SA,870751124,04,2017,201704
953269,SA,870751124,05,2017,201705
953269,SA,870751124,06,2017,201706
953269,SA,870751124,07,2017,201707
953269,SA,870751124,08,2017,201708
953269,SA,870751124,09,2017,201709
953269,SA,870751124,10,2017,201710
953269,SA,870751124,11,2017,201711
953269,SA,870751124,12,2017,201712
952440,SA,869351029,01,2017,201701
952440,SA,869351039,01,2017,201701
952440,SA,873051006,01,2017,201701
952440,SA,873051057,01,2017,201701
952440,SA,873051058,01,2017,201701
952440,SA,873051013,01,2017,201701
952440,SA,873051002,01,2017,201701
952440,SA,869651004,01,2017,201701
952440,SA,869351029,02,2017,201702
952440,SA,869351039,02,2017,201702
952440,SA,873051006,02,2017,201702
952440,SA,873051057,02,2017,201702
952440,SA,873051058,02,2017,201702
952440,SA,873051013,02,2017,201702
952440,SA,873051002,02,2017,201702
952440,SA,869651004,02,2017,201702
952440,SA,869351029,03,2017,201703
952440,SA,869351039,03,2017,201703
952440,SA,873051006,03,2017,201703
952440,SA,873051057,03,2017,201703
952440,SA,873051058,03,2017,201703
952440,SA,873051013,03,2017,201703
952440,SA,873051002,03,2017,201703
952440,SA,869651004,03,2017,201703
952440,SA,869351029,04,2017,201704
952440,SA,869351039,04,2017,201704
952440,SA,873051006,04,2017,201704
952440,SA,873051057,04,2017,201704
952440,SA,873051058,04,2017,201704
952440,SA,873051013,04,2017,201704
952440,SA,873051002,04,2017,201704
952440,SA,869651004,04,2017,201704
952440,SA,869351029,05,2017,201705
952440,SA,869351039,05,2017,201705
952440,SA,873051006,05,2017,201705
952440,SA,873051057,05,2017,201705
952440,SA,873051058,05,2017,201705
952440,SA,873051013,05,2017,201705
952440,SA,873051002,05,2017,201705
952440,SA,869651004,05,2017,201705
952440,SA,869351029,06,2017,201706
952440,SA,869351039,06,2017,201706
952440,SA,873051006,06,2017,201706
952440,SA,873051057,06,2017,201706
952440,SA,873051058,06,2017,201706
952440,SA,873051013,06,2017,201706
952440,SA,873051002,06,2017,201706
952440,SA,869651004,06,2017,201706
952440,SA,869351029,07,2017,201707
952440,SA,869351039,07,2017,201707
952440,SA,873051006,07,2017,201707
952440,SA,873051057,07,2017,201707
952440,SA,873051058,07,2017,201707
952440,SA,873051013,07,2017,201707
952440,SA,873051002,07,2017,201707
952440,SA,869651004,07,2017,201707
952440,SA,869351029,08,2017,201708
952440,SA,869351039,08,2017,201708
952440,SA,873051006,08,2017,201708
952440,SA,873051057,08,2017,201708
952440,SA,873051058,08,2017,201708
952440,SA,873051013,08,2017,201708
952440,SA,873051002,08,2017,201708
952440,SA,869651004,08,2017,201708
952440,SA,869351029,09,2017,201709
952440,SA,869351039,09,2017,201709
952440,SA,873051006,09,2017,201709
952440,SA,873051057,09,2017,201709
952440,SA,873051058,09,2017,201709
952440,SA,873051013,09,2017,201709
952440,SA,873051002,09,2017,201709
952440,SA,869651004,09,2017,201709
952440,SA,869351029,10,2017,201710
952440,SA,869351039,10,2017,201710
952440,SA,873051006,10,2017,201710
952440,SA,873051057,10,2017,201710
952440,SA,873051058,10,2017,201710
952440,SA,873051013,10,2017,201710
952440,SA,873051002,10,2017,201710
952440,SA,869651004,10,2017,201710
952440,SA,869351029,11,2017,201711
952440,SA,869351039,11,2017,201711
952440,SA,873051006,11,2017,201711
952440,SA,873051057,11,2017,201711
952440,SA,873051058,11,2017,201711
952440,SA,873051013,11,2017,201711
952440,SA,873051002,11,2017,201711
952440,SA,869651004,11,2017,201711
952440,SA,869351029,12,2017,201712
952440,SA,869351039,12,2017,201712
952440,SA,873051006,12,2017,201712
952440,SA,873051057,12,2017,201712
952440,SA,873051058,12,2017,201712
952440,SA,873051013,12,2017,201712
952440,SA,873051002,12,2017,201712
952440,SA,869651004,12,2017,201712
952440,SA,869651011,12,2017,201712
952440,SA,869651011,01,2017,201701
952440,SA,869651011,02,2017,201702
952440,SA,869651011,03,2017,201703
952440,SA,869651011,04,2017,201704
952440,SA,869651011,05,2017,201705
952440,SA,869651011,06,2017,201706
952440,SA,869651011,07,2017,201707
952440,SA,869651011,08,2017,201708
952440,SA,869651011,09,2017,201709
952440,SA,869651011,10,2017,201710
952440,SA,869651011,11,2017,201711
952440,SA,869351047,01,2017,201701
952440,SA,869351047,02,2017,201702
952440,SA,869351047,03,2017,201703
952440,SA,869351047,04,2017,201704
952440,SA,869351047,05,2017,201705
952440,SA,869351047,06,2017,201706
952440,SA,869351047,07,2017,201707
952440,SA,869351047,08,2017,201708
952440,SA,869351047,09,2017,201709
952440,SA,869351047,10,2017,201710
952440,SA,869351047,11,2017,201711
952440,SA,869351047,12,2017,201712
953894,LY,870151181,01,2017,201701
953894,LY,870151181,02,2017,201702
953894,LY,870151181,03,2017,201703
953894,LY,870151181,04,2017,201704
953894,LY,870151181,05,2017,201705
953894,LY,870151181,06,2017,201706
